feature,importance
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,6739.801601409912
INT_UTIL_DEBT,6726.546499252319
PREV_AMT_GOODS_PRICE_MAX,6672.673250198364
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,6630.502397537231
CC_CC_USING_CASH_ADVANCE_MEAN,6453.292533874512
GEO_LIVING_AREA_MEAN,6446.244121551514
COMMONAREA_MEDI,6387.614862442017
CC_CC_UTILIZATION_STD,6368.453702926636
CC_CC_DRAWING_RATIO_MEAN,6305.882278442383
CC_CC_RECEIVABLE_RATIO_MAX,6291.950601577759
OBS_60_CNT_SOCIAL_CIRCLE,6223.954614639282
CC_CC_FULL_BALANCE_SUM,6172.903995513916
CC_CC_UNDERPAYING_MEAN,6105.73551940918
CODE_GENDER,6104.477317810059
GEO_COMMON_AREA_MEAN,6099.878314971924
LIVINGAPARTMENTS_AVG,6090.988510131836
ENTRANCES_AVG,6073.649602890015
LIVINGAREA_MEDI,6015.9826011657715
WALLSMATERIAL_MODE,5997.708984375
CC_CASH_ADVANCE_DEPENDENCY,5924.162279129028
CC_CNT_INSTALMENT_MATURE_CUM_SUM,5884.005725860596
CC_CC_DRAWING_RATIO_MAX,5878.764419555664
CC_AMT_PAYMENT_CURRENT_STD,5855.1968784332275
BB_BB_STATUS_1_MEAN,5843.784616470337
APARTMENTS_MEDI,5685.3409786224365
CC_UTILIZATION_TREND,5638.83930015564
CC_AMT_BALANCE_STD,5587.267374038696
FLOORSMAX_AVG,5564.42301940918
BB_BB_STATUS_DPD_MEAN,5486.880783081055
PREV_DAYS_FIRST_DRAWING_MEAN,5388.008060455322
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,5369.423503875732
CC_AMT_PAYMENT_CURRENT_MEAN,5338.676677703857
AMT_REQ_CREDIT_BUREAU_YEAR,5328.6822147369385
POS_SK_ID_PREV_NUNIQUE,5325.004722595215
GEO_BUILDING_AGE_MEAN,5324.183088302612
FLAG_WORK_PHONE,5312.3555908203125
GEO_REGION_POPULATION_RELATIVE_CATEGORY,5288.01872253418
POS_POS_HAS_DPD_MEAN,5167.8427734375
CC_CC_CASH_DRAWING_RATIO_MEAN,5138.192775726318
INST_INST_PAID_LATE_SUM,5114.2817096710205
CC_AMT_DRAWINGS_CURRENT_STD,5085.819784164429
