feature,importance
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,250.39154148101807
BASEMENTAREA_AVG,248.69278049468994
POS_SK_DPD_STD,242.73098182678223
PREV_CNT_PAYMENT_MIN,241.35597038269043
CC_CASH_ADVANCE_DEPENDENCY,239.78468227386475
APARTMENTS_AVG,236.18223094940186
INST_INST_PAID_LATE_SUM,236.11521339416504
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,228.923095703125
POS_POS_HAS_DPD_DEF_MEAN,227.44438123703003
NONLIVINGAREA_MEDI,215.62393856048584
PREV_TOTAL_APPLICATIONS,214.15610885620117
LIVINGAPARTMENTS_MODE,213.24688816070557
PREV_PREV_APP_CANCELED_MEAN,209.15787029266357
CC_CNT_DRAWINGS_CURRENT_SUM,205.2771987915039
COMMONAREA_MODE,205.0536403656006
APARTMENTS_MEDI,204.5768804550171
BASEMENTAREA_MEDI,203.09511852264404
CC_AMT_DRAWINGS_CURRENT_STD,202.39300727844238
CC_CC_CASH_DRAWING_RATIO_MAX,200.81243133544922
CC_AMT_BALANCE_STD,200.57986068725586
CC_AMT_DRAWINGS_CURRENT_MEAN,199.36500072479248
POS_POS_INSTALLMENT_RATIO_MEAN,199.2909598350525
LANDAREA_MEDI,198.67163848876953
CC_CC_PAYMENT_RATIO_MIN,197.6407299041748
NONLIVINGAREA_MODE,195.44727087020874
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,192.59617233276367
CC_CC_DRAWING_RATIO_MAX,190.4099292755127
CC_AMT_DRAWINGS_CURRENT_MAX,189.17211055755615
CC_AMT_PAYMENT_CURRENT_MAX,188.27001094818115
CC_CC_POS_DRAWING_RATIO_MAX,184.16125011444092
CC_CC_UTILIZATION_STD,181.65924072265625
POS_NUM_COMPLETED_LOANS,180.00712966918945
CC_CNT_DRAWINGS_POS_CURRENT_MAX,176.72758054733276
COMMONAREA_AVG,175.86442947387695
LIVINGAPARTMENTS_MEDI,175.2055206298828
GEO_APARTMENTS_MEAN,171.97342014312744
PREV_PREV_APP_APPROVED_SUM,168.25418090820312
COMMONAREA_MEDI,165.81900215148926
CC_AMT_INST_MIN_REGULARITY_MAX,164.93423175811768
CC_UTILIZATION_STABILITY,164.89923000335693
CNT_FAM_MEMBERS,162.61524963378906
POS_SK_ID_PREV_NUNIQUE,162.26119804382324
CC_AMT_BALANCE_MAX,161.37137079238892
CC_AMT_PAYMENT_CURRENT_MEAN,158.33426094055176
INST_LATE_PAYMENT_RATE,155.63449954986572
GEO_BUILDING_AGE_MEAN,154.01469039916992
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,153.78722095489502
BUREAU_CREDIT_TYPE_NUNIQUE,153.78036975860596
CC_SK_DPD_DEF_MEAN,153.59772968292236
CC_CC_UNDERPAYING_SUM,151.36709022521973
INST_TOTAL_UNDERPAID,151.34420013427734
PREV_CHANNEL_TYPE_NUNIQUE,149.87498998641968
YEARS_BUILD_MODE,149.26675987243652
BUREAU_OVERDUE_RATIO,148.73001861572266
PREV_DAYS_FIRST_DRAWING_MEAN,145.78470993041992
YEARS_BUILD_AVG,141.60385036468506
LIVINGAREA_AVG,141.0815896987915
PREV_CANCEL_RATE,140.81856155395508
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,140.61407089233398
PREV_NAME_PRODUCT_TYPE_NUNIQUE,140.41709995269775
ENTRANCES_MEDI,139.8197317123413
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,139.41569900512695
BUREAU_CREDIT_TYPE_COUNT,138.2115502357483
CC_AMT_BALANCE_MEAN,137.89570999145508
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,137.01270198822021
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,135.42970085144043
POS_POS_STATUS_COMPLETED_MEAN,132.91430950164795
GEO_COMMON_AREA_MEAN,132.42098140716553
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,130.98819065093994
CNT_CHILDREN,130.4531192779541
INST_NUM_INSTALMENT_VERSION_MAX,128.0044708251953
BB_DPD_TREND_6M,127.54594039916992
POS_SK_DPD_MAX,126.60774230957031
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,126.49664211273193
GEO_BASEMENT_MEAN,125.88971996307373
NAME_CONTRACT_TYPE,120.34229850769043
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,120.23210048675537
FLOORSMIN_MODE,120.21932125091553
CC_AMT_INST_MIN_REGULARITY_SUM,113.77129936218262
DOC_MISSING_CRITICAL,110.3376989364624
PREV_PREV_APP_CANCELED_SUM,110.16684865951538
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,108.99687957763672
ELEVATORS_AVG,107.89249992370605
FLAG_PHONE,104.8627700805664
CC_CC_FULL_BALANCE_MEAN,101.68259906768799
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,101.45317935943604
CC_CC_POS_DRAWING_RATIO_MEAN,99.9196105003357
NAME_TYPE_SUITE,98.42886161804199
